contactid,genderCode,birthdate,msrc_loyaltymembership,msrc_agreementtomarketingactivity,annualincome,msrc_occupationstatus,msrc_creditscore,msrc_customerrelationshipduration,msrc_distancetoneareststore
0a6af3a9-3b96-4427-aa4b-1eb254278be2,Female,1/4/1958,TRUE,TRUE,29596,Employed,840.2502623,245,11.11
dfbe035c-a933-4108-a5cf-4417574982a9,Male,3/25/1953,FALSE,FALSE,50938,Employed,709.4113787,159,11.16
1ce819de-c900-4ef7-b3a2-4569f06b5505,Female,12/8/1973,FALSE,FALSE,35053,Employed,742.3097624,193,4.23
79aa3a3d-8e50-454b-bc8c-b149610e96da,Male,7/4/2000,FALSE,TRUE,46723,Employed,763.2766363,222,15.83
4aed3faa-881e-444d-9630-84c86a84da48,N/A,7/15/1993,FALSE,FALSE,39478,Self-employed,575.3954458,96,15.25
ad580418-30d6-4a49-807b-9f765c8a444a,Male,3/18/1958,FALSE,FALSE,54391,Employed,736.1062842,316,8.21
d97c57ed-919a-4926-9bae-7f12c8e83885,N/A,8/14/1980,FALSE,FALSE,25139,Self-employed,591.6647026,107,23.13
daf17033-5754-4711-b8ec-9777e79fd34e,N/A,2/12/1993,FALSE,TRUE,59093,Employed,695.5664379,284,14.76
1bad6d6c-7503-44f5-a8d8-b34a782886d9,Male,6/2/1964,FALSE,TRUE,33827,Employed,660.8304471,177,23.65
8944254b-42e6-4513-91f9-c709c770a40c,Female,2/8/1952,TRUE,FALSE,83712,Employed,866.4104362,194,16.67
0bd978e4-e0c9-44c3-a1c3-fd7088957065,Female,5/31/1978,TRUE,TRUE,35070,Employed,837.716454,179,18.78
0c928f17-d958-488b-ac5f-2c9d0d5c45e2,Female,5/21/1954,FALSE,FALSE,84468,Employed,811.5860831,165,13.48
91d4ff94-faae-4730-abad-24f6baac78ad,N/A,6/27/1976,TRUE,TRUE,75795,Employed,989.7416831,1789,16.41
dd0d6475-90e1-49e0-baa6-c4168298e4c9,Male,9/20/1972,TRUE,TRUE,41705,Employed,999.5542937,54,6.55
4f0a6aad-b600-47b9-a3fc-a4393b20b9b7,N/A,7/29/1963,FALSE,FALSE,47872,Employed,660.8103347,189,14.84
d6e83217-4ed2-4978-b6e2-e8acb027cdec,Female,1/26/1984,TRUE,TRUE,36384,Employed,891.1229612,31,15.67
78d998dd-da89-44cc-8bd6-014f59ed6414,Male,10/15/1982,FALSE,FALSE,44299,Employed,660.9664045,342,12.26
f9d273e9-155d-4d96-9729-664779d60523,Female,11/25/1992,FALSE,FALSE,22708,Self-employed,537.2665923,115,23.68
089aea60-697f-4b6f-b4de-19fa4c2df9f2,Female,3/9/1956,FALSE,TRUE,22836,Self-employed,389.4819037,1586,69.87
80ecf88a-52c7-4f71-804d-8312ff228598,Male,3/12/1983,TRUE,FALSE,42105,Employed,938.5680542,33,23.95
c6eae39f-7afd-4a37-86a9-12083059b0bc,N/A,10/14/1964,FALSE,FALSE,51639,Employed,801.000541,268,13.92
e9487607-bdcc-41fb-bfcc-ecf78717ae05,Female,2/9/1965,FALSE,FALSE,25535,Partially employed,545.7680108,163,17.03
0b0af829-23d7-4d3b-9e8e-d43383c6779d,Female,12/25/1966,TRUE,TRUE,54700,Employed,901.5098006,56,5.6
39bbda4e-bc8e-4e4a-bf22-45a5481f507d,Male,10/22/1970,TRUE,FALSE,48842,Employed,971.8533894,69,20.19
b0ba7efb-4eb7-49fa-8e13-4676ce5af19a,Female,7/21/1963,FALSE,TRUE,27198,Partially employed,537.6569917,173,5.79
fd041ba2-8103-4947-831c-0a5587872854,N/A,1/3/1972,FALSE,TRUE,40268,Employed,748.6117291,331,6.83
c88da474-6eed-4687-b143-43cd31c54aca,Male,1/31/1990,TRUE,TRUE,43958,Employed,882.9978182,66,4.62
e1e893b2-1e7a-4d9d-9077-639bd4b16ea3,Male,12/6/1962,FALSE,TRUE,20121,Partially employed,393.2507667,4188,32.34
573886dd-2617-4d31-a9ac-3b8a70827ab3,Male,9/30/1968,FALSE,FALSE,26535,Employed,670.0279537,178,22.6
fba1f42a-3fcf-492b-a3f4-d90b80a4f2b5,Female,12/10/1990,FALSE,FALSE,30711,Employed,623.8746891,327,0.45
d091b10c-5a2f-46f0-b252-f2d778808ed1,Male,1/30/1974,FALSE,FALSE,43957,Partially employed,538.6612908,350,1.73
53722f37-1544-4583-8ae4-0094ed206a4f,Female,11/25/1978,TRUE,TRUE,39330,Employed,846.0944515,165,9.34
37542de4-1ac2-46de-9892-1993794196d1,Male,3/17/1955,FALSE,TRUE,44123,Employed,831.1194166,354,1
85876dd6-6f4f-406b-aaa9-6d671916486c,Female,5/8/1989,FALSE,TRUE,43971,Employed,833.5741331,333,7.65
6c4ff8f9-ac0f-4e92-a1c8-7b9108e0f69c,Female,6/22/1986,TRUE,TRUE,54763,Employed,980.0856115,49,24.62
25e3bdfb-8dd2-49df-a669-c992be2763f5,Female,10/1/2001,TRUE,TRUE,34826,Employed,1013.272689,84,23.59
1a97813d-a8ba-4eaa-b1ce-9e989d016dcb,Female,5/18/1972,FALSE,FALSE,53517,Employed,690.261473,285,8.6
d7ed2a56-d376-4ec0-8d10-efb037179ad6,N/A,6/2/2000,FALSE,FALSE,52091,Employed,612.8574727,231,17.11
2f4267f6-b9fb-4050-971f-8f9d233ae75c,Female,11/23/1953,FALSE,TRUE,35533,Employed,729.7225795,227,5.58
492da286-013a-4b83-b4d3-38f80d4ea7f1,N/A,5/7/1989,FALSE,TRUE,48850,Employed,784.5964259,146,3.91
334df10c-e32e-4d2c-957e-fb19ae1befa0,Male,9/18/1953,FALSE,FALSE,34281,Self-employed,393.4567739,3359,43.79
b67ed029-69e2-4615-9b5c-137f47b8b2c6,Male,8/18/1980,FALSE,TRUE,24028,Partially employed,527.2660574,251,1.22
e57582ac-e188-46f8-a423-ad6dc49b89b7,Female,3/22/1963,FALSE,FALSE,43148,Employed,801.5658443,141,24.42
41db1b9f-68d7-4522-9ee5-59fd9b59aefe,Female,12/16/1998,FALSE,FALSE,52477,Employed,785.0224757,271,9.78
bc469735-d5fa-4d25-9341-2d4f08d8d8af,Female,8/5/1995,FALSE,FALSE,52117,Employed,676.0702291,230,14.15
0323b759-4317-490c-888f-d826a1c396c5,Male,5/30/1976,FALSE,FALSE,34699,Self-employed,513.3145741,127,21.07
407b6de9-0482-4053-9ec2-08a1c9cb3097,Female,7/17/1985,TRUE,FALSE,43567,Employed,1016.801584,63,9.93
697bc515-e938-47c6-b8d9-d9e7cb1e1b40,Male,6/21/1962,TRUE,TRUE,45124,Employed,1004.505294,3375,13.44
9fb89a02-753f-4b5c-9cf5-6180143acfaa,Female,11/24/1961,FALSE,FALSE,22173,Employed,609.5247479,357,22.74
2c9c7306-3ffb-4cb1-9748-30346b4767d4,Male,3/14/1964,FALSE,FALSE,38136,Self-employed,522.2389783,255,1.41
399dda0e-8328-4ce1-8554-7bb25487c872,N/A,5/29/1983,FALSE,FALSE,28727,Employed,661.84462,265,6.93
44e7c8f4-93da-4fe9-b8c5-7c8df06cafcf,Female,1/1/1950,TRUE,FALSE,56375,Employed,901.6391912,39,14.83
40432857-5b3a-4238-a3da-f0c20573716f,Male,6/13/1954,FALSE,FALSE,43572,Employed,783.810318,98,15.97
0511eaee-f208-46cc-a84f-c614379a3539,Female,6/21/1969,FALSE,TRUE,33197,Employed,676.2737075,342,23.24
1b63ef23-5d79-436f-a590-d4d5b38827d9,N/A,10/16/1959,FALSE,TRUE,34038,Employed,687.462547,128,5.57
9ab57ac1-ac85-475f-9129-4306682d8c7f,Female,12/13/1961,TRUE,TRUE,92596,Employed,863.9732541,140,21.45
bc6cc73a-4474-4661-902b-b2f99312c2d7,Male,7/27/1972,FALSE,FALSE,47321,Employed,814.1563509,135,22.25
9125d9e3-67b1-4a1c-b67b-21b371e0b238,Male,1/20/1957,FALSE,FALSE,39018,Partially employed,493.7862041,324,15.15
9363fd57-4f94-4796-a7ed-a510ac8a4d80,Female,4/4/1989,FALSE,TRUE,27394,Employed,631.3478854,337,19.59
2a0c2748-b4a9-43a3-aa01-e49373573407,Female,5/14/1977,FALSE,FALSE,30009,Employed,805.7995963,169,19.84
efdea142-3484-4ef2-b031-10323e065b8b,Male,12/25/2000,FALSE,FALSE,63386,Employed,626.9429165,114,10.32
6f1b35b3-fa22-457d-82a2-c90ac87af40c,Male,5/22/1977,TRUE,TRUE,38462,Employed,1020.306714,3133,14.34
f4ea2c7e-c112-4a80-9644-906cf007b31e,Female,10/30/1968,TRUE,TRUE,47806,Employed,1034.825586,48,4.72
6ae44085-55ad-4f88-907f-87fc6a7f41bd,Male,6/11/1982,TRUE,TRUE,48753,Employed,877.270432,53,3.2
b37c65f1-fa3e-40d5-ac58-b7f44eccb746,N/A,3/19/1980,FALSE,TRUE,51718,Employed,745.9951611,260,19.63
5261b85e-0108-4c58-b2f1-b6a360915d20,N/A,12/15/1986,FALSE,FALSE,37860,Partially employed,402.6640769,1992,51.5
9a6814d2-aab1-4728-ac3e-18f9c3ae25d0,Female,1/12/1982,TRUE,FALSE,33594,Employed,890.7444734,57,3.97
a5c4f932-f675-402f-acd1-0ca2fe8989f4,Male,7/18/1974,TRUE,FALSE,55091,Employed,932.2925223,42,20.21
38886fc4-7b43-4143-bb17-3f2f856940a3,Male,1/28/1997,TRUE,TRUE,34968,Employed,995.4239889,84,3.52
8c568156-aae6-4d57-9d57-09570a457470,N/A,7/10/1997,FALSE,FALSE,19781,Partially employed,504.9114855,363,14.93
1b12bd87-23b8-4b90-bf93-b4d43f747bce,N/A,5/30/1994,FALSE,TRUE,28333,Employed,656.5728827,327,14.75
cc4ef60c-fdac-4d86-9d15-b03e391e4fb9,Male,9/1/1999,FALSE,TRUE,28426,Employed,810.1262366,321,11.41
06766bc1-46e8-43d6-8809-13fdd0b0523b,Male,12/10/1955,FALSE,FALSE,43213,Partially employed,553.2368246,211,13.02
1ee226a6-5340-49ac-9f47-857aa4ade45e,Female,9/23/1993,TRUE,TRUE,51335,Employed,1039.116232,43,10.87
d9fbf1ed-cf23-4222-8bbe-08d098e061c7,N/A,9/6/1951,FALSE,FALSE,37224,Employed,760.0345665,251,6.06
2bdc337f-ac86-4ce7-a8ea-463f1bbdca16,Male,5/29/1962,TRUE,TRUE,43579,Employed,992.6888985,59,9.31
b22379da-0e3f-4803-8893-81b3f41938af,Female,11/30/1961,TRUE,TRUE,45707,Employed,875.2465962,75,8.03
3a3e31b7-cd96-4d87-b9d9-178ba13cb0f2,Female,2/8/1972,TRUE,TRUE,70819,Employed,910.9338451,2139,18.77
73333323-61d3-4121-9af5-85d7a1794010,Female,6/30/1966,FALSE,TRUE,41347,Self-employed,530.017425,142,11.54
5af230e9-3d71-4a35-8979-5fb78908c65b,Female,3/14/1988,TRUE,FALSE,63877,Employed,1015.08899,44,13.41
9fa269bb-93b3-49fd-b241-8e68bd4d4884,Female,12/11/1996,FALSE,FALSE,36646,Employed,640.6423876,197,14.57
03a20866-a213-4d98-b8d5-20c33ec9132c,Male,8/16/1960,FALSE,TRUE,42174,Partially employed,512.2405137,192,1.25
9d6b892f-7247-4152-ab93-91f04e766680,Female,4/10/1987,FALSE,FALSE,55222,Partially employed,519.8957871,326,4.21
af618385-6a59-467b-bffb-36a8c169e827,N/A,2/16/1960,FALSE,FALSE,28552,Employed,732.7160107,250,1.78
cd509a20-de81-49a3-b098-f4bc6352f33c,Female,7/11/1994,FALSE,FALSE,51830,Employed,602.4724037,193,3.24
3042dc32-5355-4ee3-b453-b0533c521dd3,Male,11/8/1964,FALSE,FALSE,33472,Employed,643.1239807,320,2.58
65f8514c-fb6e-4234-9a18-4ba0810734e6,Female,8/25/1979,TRUE,FALSE,71739,Employed,890.5922652,80,16.21
75e99d95-607d-4946-8fb4-67791d24d737,Female,3/9/1997,TRUE,FALSE,57566,Employed,1031.061761,61,7.16
2adb1afc-4812-48e3-ada2-cf4fd63de479,Female,11/5/2000,FALSE,FALSE,28854,Employed,782.7142705,334,24.56
096241ce-b2b7-48d6-a3c1-e508366cb4f9,Female,6/19/1986,TRUE,FALSE,61852,Employed,1020.765676,1879,4.25
313d3587-b557-4555-a931-5e3bb8f8f1bc,Female,2/22/1983,FALSE,TRUE,53125,Employed,642.5524324,247,21.97
2e571631-60a3-4e48-9957-b143172f4521,Female,6/1/1999,FALSE,TRUE,23454,Self-employed,396.5982151,1229,38.69
77a80366-28eb-4090-9e20-d607a6464c0f,Male,1/1/1950,FALSE,FALSE,50793,Employed,794.0184928,209,16.5
9da7dc3d-c81b-4c32-922e-a575a43490ac,Female,6/29/1998,TRUE,FALSE,32693,Employed,942.9113418,43,8.98
9f5f0756-fdd2-42bc-8989-b3bd34750d09,N/A,8/24/1953,FALSE,FALSE,29031,Employed,638.2983908,242,6.58
f9eed170-d8f2-4007-a703-4e9ab40b9ac0,Female,1/4/1987,FALSE,FALSE,26732,Employed,673.1872035,349,18.86
690e8aad-bb51-4f83-b828-5be4a25076e9,Male,11/20/1970,FALSE,TRUE,71499,Self-employed,568.7708222,102,14.69
f06298b4-145f-4c99-b776-98a4a2eb2db1,Male,8/4/1956,FALSE,TRUE,25749,Partially employed,400.9286219,2202,36.65
fc870310-e8e3-4be8-a771-b2a0b6915196,Female,1/2/1953,TRUE,FALSE,62406,Employed,924.4668127,66,13.31
b18edc7a-2195-464b-9efc-99298f6c0c95,N/A,2/28/1950,TRUE,TRUE,57550,Employed,1035.963649,75,1.69
0848e145-08e3-4f14-927a-e48e4781011e,Female,11/6/1950,TRUE,TRUE,40564,Employed,1010.844716,2761,14.26
56274f6e-cd92-45bb-a595-83d63ec3dc7f,Male,10/18/1975,FALSE,FALSE,29590,Partially employed,397.8228331,1934,62.41
4052e1ab-4649-4797-a655-eac476d6967f,N/A,1/9/1956,FALSE,TRUE,25923,Employed,784.0717797,185,25
9a0a5fb9-d464-4bb2-b288-3b1642767805,Female,1/12/1989,FALSE,FALSE,31912,Employed,787.7513552,303,17.5
97c81437-633e-475f-971f-b8cd93d82a7d,Female,2/19/1978,FALSE,FALSE,26700,Employed,701.1127588,225,5.32
ba470238-c2ab-492c-9bcd-d7caa729cdcc,Female,3/20/1978,FALSE,FALSE,56473,Employed,684.276979,342,1.25
c6dd38ae-aa89-4450-873a-6d2f9016b2c0,N/A,4/29/1950,FALSE,TRUE,44461,Self-employed,410.0206445,1474,55.89
